,episode,timestep,reward,state,action,next_state,done
0,3,1,0.0,457,6.0,457.0,0
1,3,2,0.0,457,6.0,457.0,0
2,3,3,0.0,457,6.0,457.0,0
3,3,4,0.0,457,6.0,488.0,0
4,3,5,0.0,488,6.0,488.0,0
5,3,6,0.0,488,6.0,457.0,0
6,3,7,0.0,457,6.0,457.0,0
7,3,8,0.0,457,6.0,457.0,0
8,3,9,0.0,457,6.0,457.0,0
9,3,10,0.0,457,6.0,457.0,0
10,3,11,0.0,457,6.0,457.0,0
11,3,12,0.0,457,6.0,457.0,0
12,3,13,0.0,457,6.0,457.0,0
13,3,14,0.0,457,6.0,457.0,0
14,3,15,0.0,457,6.0,457.0,0
15,3,16,0.0,457,6.0,457.0,0
16,3,17,0.0,457,6.0,457.0,0
17,3,18,0.0,457,6.0,457.0,0
18,3,19,0.0,457,6.0,457.0,0
19,3,20,0.0,457,6.0,457.0,0
20,3,21,0.0,457,6.0,457.0,0
21,3,22,0.0,457,6.0,357.0,0
22,3,35,-100.0,357,1.0,752.0,1
23,11,1,0.0,649,1.0,380.0,0
24,11,6,0.0,380,1.0,380.0,0
25,11,7,0.0,380,1.0,640.0,0
26,11,8,0.0,640,1.0,640.0,0
27,11,9,0.0,640,1.0,380.0,0
28,11,10,0.0,380,1.0,380.0,0
29,11,11,0.0,380,1.0,380.0,0
30,11,12,0.0,380,1.0,380.0,0
31,11,13,0.0,380,1.0,380.0,0
32,11,14,0.0,380,1.0,380.0,0
33,11,15,0.0,380,1.0,380.0,0
34,11,16,0.0,380,1.0,649.0,0
35,11,17,0.0,649,1.0,380.0,0
36,11,18,0.0,380,1.0,380.0,0
37,11,19,0.0,380,1.0,649.0,0
38,11,20,0.0,649,1.0,649.0,0
39,11,21,0.0,649,1.0,649.0,0
40,11,22,0.0,649,1.0,649.0,0
41,11,23,0.0,649,1.0,649.0,0
42,11,24,0.0,649,1.0,649.0,0
43,11,25,0.0,649,1.0,640.0,0
44,11,26,0.0,640,1.0,170.0,0
45,11,27,0.0,170,1.0,649.0,0
46,11,28,0.0,649,1.0,170.0,0
47,11,29,0.0,170,1.0,649.0,0
48,11,30,0.0,649,1.0,649.0,0
49,11,31,0.0,649,1.0,649.0,0
50,11,32,0.0,649,1.0,117.0,0
51,11,33,0.0,117,1.0,83.0,0
52,11,34,0.0,83,1.0,649.0,0
53,11,35,0.0,649,1.0,117.0,0
54,11,36,0.0,117,1.0,640.0,0
55,11,37,0.0,640,1.0,649.0,0
56,11,38,0.0,649,1.0,83.0,0
57,11,39,0.0,83,1.0,83.0,0
58,11,40,0.0,83,1.0,649.0,0
59,11,41,0.0,649,1.0,640.0,0
60,11,42,0.0,640,1.0,640.0,0
61,11,43,0.0,640,1.0,170.0,0
62,11,44,0.0,170,1.0,170.0,0
63,11,45,100.0,170,1.0,751.0,1
64,12,1,0.0,385,1.0,385.0,0
65,12,4,0.0,385,1.0,385.0,0
66,12,5,0.0,385,1.0,385.0,0
67,12,6,0.0,385,1.0,385.0,0
68,12,7,0.0,385,1.0,385.0,0
69,12,8,0.0,385,1.0,385.0,0
70,12,9,0.0,385,1.0,385.0,0
71,12,10,0.0,385,1.0,385.0,0
72,12,11,0.0,385,1.0,385.0,0
73,12,12,0.0,385,1.0,385.0,0
74,12,13,100.0,385,1.0,751.0,1
75,14,1,0.0,627,11.0,627.0,0
76,14,2,0.0,627,21.0,627.0,0
77,14,3,0.0,627,11.0,627.0,0
78,14,4,0.0,627,6.0,627.0,0
79,14,5,0.0,627,11.0,627.0,0
80,14,6,0.0,627,11.0,627.0,0
81,14,7,0.0,627,11.0,627.0,0
82,14,8,0.0,627,11.0,627.0,0
83,14,9,0.0,627,11.0,627.0,0
84,14,10,0.0,627,11.0,627.0,0
85,14,11,0.0,627,11.0,627.0,0
86,14,12,0.0,627,11.0,627.0,0
87,14,13,0.0,627,11.0,627.0,0
88,14,14,0.0,627,11.0,736.0,0
89,14,15,0.0,736,1.0,736.0,0
90,14,16,0.0,736,1.0,736.0,0
91,14,17,0.0,736,1.0,0.0,0
92,14,18,0.0,0,1.0,203.0,0
93,14,19,0.0,203,1.0,203.0,0
94,14,20,0.0,203,1.0,203.0,0
95,14,21,0.0,203,1.0,203.0,0
96,14,22,0.0,203,1.0,203.0,0
